gene,immune_cells,cor,p.value
RS,A1BG,-0.1103559639894,0.0587678550080201
RS,A1CF,-0.0440322266660679,0.451964478059926
RS,A2M,-0.00986841069106856,0.866196814910751
RS,A2ML1,-0.0129589491617898,0.82488812247663
RS,A3GALT2,0.0659988975497342,0.259296766387277
RS,A4GALT,-0.0224283442278379,0.701737627134403
RS,A4GNT,-0.0847584282498929,0.147135755886223
RS,AAAS,0.0802610422611231,0.169894527827325
RS,AACS,0.00480444890976848,0.934623912604993
RS,AACSP1,-0.0185277626229965,0.751730215870341
RS,AADAC,0.0331634571448995,0.571143476069844
RS,AADACL2,-0.0581183335859091,0.320653283523025
RS,AADACL3,-0.0670018352792787,0.252111656272721
RS,AADACL4,-0.0121083468928418,0.836214453920005
RS,AADAT,-0.0861422393233606,0.140621732143858
RS,AAGAB,0.00585087240726206,0.920427650674763
RS,AAK1,0.0674944958328028,0.248633256246909
RS,AAMP,0.0321021827960943,0.583531094200583
RS,AANAT,-0.00937144466718281,0.872876517780392
RS,AAR2,0.0126768902157345,0.82864002836115
RS,AARD,-0.127364858625134,0.0290027777674712
RS,AARS,0.056882802308597,0.331065914641086
RS,AARS2,0.00626721111009422,0.914786162920039
RS,AASDH,-0.0636712771130027,0.276511833786186
RS,AASDHPPT,0.0010325313667364,0.985934974113376
RS,AASS,0.025440841978485,0.663975066859336
RS,AATF,0.0569022939320345,0.330899975268158
RS,AATK,-0.0254751200523165,0.663550007412074
RS,ABAT,0.0448632989386411,0.443465538420032
RS,ABCA1,0.0150780226096296,0.796833336901327
RS,ABCA10,0.0374701230703161,0.522194331796682
RS,ABCA12,0.0230801767248776,0.693500404374009
RS,ABCA13,0.0697153783034974,0.233367958213636
RS,ABCA2,-0.0207619197289503,0.722953384050581
RS,ABCA3,-0.00724348011616507,0.90157471488907
RS,ABCA4,-0.105687495143057,0.0703711624835697
RS,ABCA5,0.00432843208230294,0.941088899364359
RS,ABCA6,-0.0394128442819287,0.500837728752604
RS,ABCA7,-0.0974593624505537,0.0953288505429949
RS,ABCA8,0.0302990245761206,0.604859030536597
RS,ABCA9,-0.10186559900359,0.0812063544023068
RS,ABCB1,-0.00308914376589918,0.957937265271224
