gene,immune_cells,cor,p.value
SNHG5,Activated B cell,-0.193714978460741,0.000823220579811202
SNHG5,Activated CD4 T cell,0.0868270427592461,0.136079277305605
SNHG5,Activated CD8 T cell,-0.0968160764770934,0.0963894893917284
SNHG5,Activated dendritic cell,-0.0282675587760333,0.627930178321101
SNHG5,CD56bright natural killer cell,-0.0121151968609596,0.835474987728617
SNHG5,CD56dim natural killer cell,-0.0660031371895779,0.25747395559731
SNHG5,Central memory CD4 T cell,-0.181106530259073,0.00178253863501208
SNHG5,Central memory CD8 T cell,-0.0454832336188268,0.435395552863022
SNHG5,Effector memeory CD4 T cell,-0.187275873716552,0.0012287335671071
SNHG5,Effector memeory CD8 T cell,-0.109950628594696,0.058870892518702
SNHG5,Eosinophil,-0.166483432585127,0.0041158053829341
SNHG5,Gamma delta T cell,-0.0678812865253543,0.244156622747193
SNHG5,Immature  B cell,-0.135968480036277,0.0193318856020568
SNHG5,Immature dendritic cell,-0.0460907749043342,0.429283005502794
SNHG5,Macrophage,0.0417403536047604,0.474139104656209
SNHG5,Mast cell,-0.200780132983523,0.000522856813337228
SNHG5,MDSC,-0.0688807451519316,0.237269640548262
SNHG5,Memory B cell,-0.0735416464230023,0.20695987428895
SNHG5,Monocyte,-0.0859539045979724,0.140072811445751
SNHG5,Natural killer cell,-0.0438225590767964,0.452356705494208
SNHG5,Natural killer T cell,-0.111386887658074,0.0556264721762983
SNHG5,Neutrophil,-0.0279496754073025,0.631803131475248
SNHG5,Plasmacytoid dendritic cell,0.00660197948333541,0.909895378070683
SNHG5,Regulatory T cell,-0.229123576581204,7.2470007157351e-05
SNHG5,T follicular helper cell,-0.141066644456475,0.0152060385479837
SNHG5,Type 1 T helper cell,-0.108935437748997,0.061257304616152
SNHG5,Type 17 T helper cell,0.0119472322862153,0.837724183458684
SNHG5,Type 2 T helper cell,-0.133044600841211,0.0221129712616809
LINC01270,Activated B cell,-0.142425167848897,0.0142462378214141
LINC01270,Activated CD4 T cell,-0.0518177653770874,0.374149556101353
LINC01270,Activated CD8 T cell,-0.176199928742302,0.00237701775303416
LINC01270,Activated dendritic cell,-0.0914384338113152,0.116424091480964
LINC01270,CD56bright natural killer cell,-0.113716181512792,0.0506809734040132
LINC01270,CD56dim natural killer cell,-0.132092338872,0.0230906253401596
LINC01270,Central memory CD4 T cell,-0.141685290837833,0.0147621459505299
LINC01270,Central memory CD8 T cell,-0.152625661100237,0.00858721003553574
LINC01270,Effector memeory CD4 T cell,-0.173958550229737,0.00270458536950997
LINC01270,Effector memeory CD8 T cell,-0.125059574212117,0.0315376406979908
LINC01270,Eosinophil,-0.230334032028947,6.62311816955835e-05
LINC01270,Gamma delta T cell,-0.222271269728897,0.000119581482748206
LINC01270,Immature  B cell,-0.118770388261914,0.041202492583155
LINC01270,Immature dendritic cell,-0.131674972352938,0.0235307706929985
